scenario,seed,channel,lambda,par,fpr,fnr,par_zero,delta_proc,coupling_proxy
normal_flow,2,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9956
normal_flow,3,zone_permutation,0.25,0.8333,0.0,0.1667,0.8333,0.0,0.9973
normal_flow,4,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9954
normal_flow,5,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.9964
normal_flow,6,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.9975
normal_flow,7,zone_permutation,0.25,0.9167,0.0,0.0833,0.9167,0.0,0.9974
normal_flow,8,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9971
normal_flow,9,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9979
normal_flow,10,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9965
normal_flow,11,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9935
normal_flow,12,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9926
normal_flow,13,zone_permutation,0.25,1.0,0.0,0.0,1.0,0.0,0.9935
normal_flow,14,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.995
normal_flow,15,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.9976
normal_flow,16,zone_permutation,0.25,0.9167,0.0,0.0833,0.9167,0.0,0.9967
normal_flow,17,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.9957
normal_flow,18,zone_permutation,0.25,0.9167,0.0,0.0833,0.9167,0.0,0.9968
normal_flow,19,zone_permutation,0.25,0.9167,0.0,0.0833,0.9167,0.0,0.9953
normal_flow,20,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9978
normal_flow,21,zone_permutation,0.25,0.9167,0.0,0.0833,0.9167,0.0,0.9954
normal_flow,22,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9972
normal_flow,23,zone_permutation,0.25,0.9444,0.0,0.0556,0.9444,0.0,0.997
normal_flow,24,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9951
normal_flow,25,zone_permutation,0.25,0.9722,0.0,0.0278,0.9722,0.0,0.9942
